lad_code,overall_score,overall_rank,overall_quantiles,individual_domain_score,individual_domain_rank,individual_domain_quantiles,community_domain_score,community_domain_rank,community_domain_quantiles,heat_hazard_quantiles,fire_quantiles,flood_quantiles
E07000235,95.99542444283026,293,5,8.249014168668255,306,5,-0.688745679715938,100,2,1,2,5
E07000236,104.23330822078157,299,5,-1.467601993383667,105,2,6.551788340042503,308,5,2,3,1
E07000237,42.37685389267446,165,3,-0.3785017870814876,149,3,0.8508532780007392,219,4,3,2,2
E07000238,53.37417351542824,207,4,3.14155730452829,248,5,0.07743290166940314,166,3,1,3,5
E07000239,67.18601195841305,249,5,5.8432462252794135,291,5,-1.2379605887867753,75,2,1,5,3
E07000240,14.550318894851484,48,1,-4.769555428811803,32,1,-0.3281462008634668,129,3,2,2,1
E07000241,17.749888418068064,64,2,-4.601804453195284,37,1,-0.051693252903961734,150,3,3,4,1
E07000242,16.657536415931524,60,1,-3.2035483078927793,66,2,-0.44653625947422615,122,2,2,2,5
E07000243,91.07339766020368,288,5,-2.211178759926237,82,2,4.455596398386389,305,5,2,3,1
E07000244,62.83710788181007,241,4,4.993698043772536,285,5,-0.9819678030979311,87,2,3,2,4
E07000245,53.63576352347445,208,4,2.986489532680506,246,4,0.21804189834543983,172,3,1,1,4
E07000246,39.28591759561704,148,3,2.6999339885663023,236,4,-1.0224502414011623,84,2,5,3,5
E08000001,58.17232403951576,223,4,0.41938782669008084,172,3,1.729225232535432,258,5,4,5,2
E08000002,60.844104137909795,232,4,-0.7655821508779687,136,3,2.2941328982882507,274,5,4,4,2
E08000003,14.216372475000343,46,1,-0.6523180710058389,141,3,-3.7520983124727603,8,1,5,5,1
E08000004,42.18944020802007,164,3,3.3443015608320668,253,5,-1.6699772451639066,54,1,5,5,1
E08000005,44.823307213477165,173,3,-0.04333324932288744,159,3,0.9318682455586448,223,4,4,5,3
E08000006,19.63454818018598,74,2,-0.133103402437823,156,3,-1.748864407375176,49,1,5,5,2
E08000007,13.370482950151956,45,1,-1.1812791430868559,120,2,-2.705072056745024,31,1,4,5,2
E08000008,58.33224438843257,225,4,0.1263778813266852,162,3,1.8547490160500957,262,5,5,5,1
E08000009,10.767113713886006,38,1,-2.1777490530531454,83,2,-1.7785448539183715,48,1,5,4,2
E08000010,40.37091765493531,154,3,-1.1045929135353718,124,2,0.9568368783685172,224,4,4,4,3
E08000011,78.22613560681899,272,5,0.5348211515129763,178,3,2.724234440478481,289,5,5,5,1
E08000012,42.09911592409323,162,3,3.7385524961535235,261,5,-3.3645444608567754,13,1,5,5,1
E08000013,44.9179497177808,174,3,-1.408294748779852,107,2,1.3869445263748956,246,4,4,4,2
E08000014,40.33474176139323,153,3,1.729002924788152,205,4,-0.013388670426336624,157,3,5,5,1
E08000015,30.210907332865965,112,2,1.9116791897499743,215,4,-1.870428195369978,46,1,5,4,2
E08000016,42.080985571654,161,3,0.7197870372646636,185,3,0.4706302376074416,191,4,1,2,2
E08000017,71.95648578311608,259,5,0.7086564741908812,184,3,2.42069573583891,280,5,1,3,4
E08000018,36.95124580995936,137,3,0.20848640088423578,164,3,0.3711347070892159,182,3,1,3,1
E08000019,23.59844432335208,88,2,1.4940201614539377,199,4,-3.798773304485378,7,1,3,4,1
E08000021,19.30273789445331,70,2,0.34102396554323544,168,3,-2.9889036239203035,23,1,5,5,1
E08000022,35.49589272163729,131,3,2.263223854786029,226,4,-1.2412702702353489,74,2,4,4,1
E08000023,84.73388440211765,282,5,4.652316834239137,280,5,1.2981975464146671,239,4,4,4,1
E08000024,64.00349890354791,245,4,3.352090028314478,254,5,0.7337844884894715,211,4,4,5,1
E08000025,23.973131324948746,90,2,1.6128891216703571,203,4,-4.973308270683995,1,1,3,5,1
E08000026,61.29306399960595,235,4,1.5442593645018918,202,4,1.5290097502157294,252,5,3,4,2
